shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4..N06R,40.840075,-73.917791,409,
4..N06R,40.844434,-73.914685,410,
4..N06R,40.848480,-73.911794,411,
4..N06R,40.850105,-73.910631,412,
4..N06R,40.850182,-73.910580,413,
4..N06R,40.850257,-73.910527,414,
4..N06R,40.850332,-73.910472,415,
4..N06R,40.850407,-73.910417,416,
4..N06R,40.850482,-73.910360,417,
4..N06R,40.850556,-73.910302,418,
4..N06R,40.850631,-73.910243,419,
4..N06R,40.850705,-73.910183,420,
4..N06R,40.850779,-73.910121,421,
4..N06R,40.850853,-73.910058,422,
4..N06R,40.850927,-73.909995,423,
4..N06R,40.851000,-73.909929,424,
4..N06R,40.851074,-73.909863,425,
4..N06R,40.851147,-73.909796,426,
4..N06R,40.851220,-73.909727,427,
4..N06R,40.853453,-73.907684,428,
4..N06R,40.855537,-73.905801,429,
4..N06R,40.855612,-73.905731,430,
4..N06R,40.855688,-73.905663,431,
4..N06R,40.855764,-73.905597,432,
4..N06R,40.855839,-73.905533,433,
4..N06R,40.855915,-73.905470,434,
4..N06R,40.855991,-73.905409,435,
4..N06R,40.856067,-73.905350,436,
4..N06R,40.856143,-73.905292,437,
4..N06R,40.856219,-73.905236,438,
4..N06R,40.856295,-73.905182,439,
4..N06R,40.856371,-73.905129,440,
4..N06R,40.856446,-73.905078,441,
4..N06R,40.856522,-73.905029,442,
4..N06R,40.856598,-73.904981,443,
4..N06R,40.856673,-73.904933,444,
4..N06R,40.858407,-73.903879,445,
4..N06R,40.861321,-73.902090,446,
4..N06R,40.861383,-73.902053,447,
4..N06R,40.861442,-73.902017,448,
4..N06R,40.861500,-73.901982,449,
4..N06R,40.861555,-73.901948,450,
4..N06R,40.861609,-73.901915,451,
4..N06R,40.861660,-73.901882,452,
4..N06R,40.861709,-73.901851,453,
4..N06R,40.861756,-73.901821,454,
4..N06R,40.861801,-73.901792,455,
4..N06R,40.861844,-73.901763,456,
4..N06R,40.861885,-73.901736,457,
4..N06R,40.861924,-73.901710,458,
4..N06R,40.861961,-73.901684,459,
4..N06R,40.861995,-73.901660,460,
4..N06R,40.862028,-73.901636,461,
4..N06R,40.862803,-73.901034,462,
